longitude,latitude,bio_year,lyde_present,lyde_established,lyde_density
-123.29411764705883,44.59459459459459,2020,FALSE,FALSE,Unpopulated
-122.94117647058823,45.49549549549549,2020,FALSE,FALSE,Unpopulated
-122.82352941176471,45.585585585585584,2020,FALSE,FALSE,Unpopulated
-122.70588235294117,45.585585585585584,2020,FALSE,FALSE,Unpopulated
-122.58823529411765,45.31531531531531,2020,FALSE,FALSE,Unpopulated
-122.58823529411765,45.31531531531531,2021,FALSE,FALSE,Unpopulated
-122.58823529411765,45.4054054054054,2020,FALSE,FALSE,Unpopulated
-122.58823529411765,45.49549549549549,2020,FALSE,FALSE,Unpopulated
-122.58823529411765,45.49549549549549,2021,FALSE,FALSE,Unpopulated
-122.58823529411765,45.585585585585584,2020,FALSE,FALSE,Unpopulated
-122.58823529411765,45.585585585585584,2021,FALSE,FALSE,Unpopulated
-122.47058823529412,45.49549549549549,2020,FALSE,FALSE,Unpopulated
-122.47058823529412,45.49549549549549,2021,FALSE,FALSE,Unpopulated
-122.47058823529412,45.585585585585584,2020,FALSE,FALSE,Unpopulated
-122.47058823529412,45.585585585585584,2021,FALSE,FALSE,Unpopulated
-122.35294117647058,45.49549549549549,2020,FALSE,FALSE,Unpopulated
-121.88235294117646,45.67567567567567,2020,FALSE,FALSE,Unpopulated
-121.76470588235294,45.67567567567567,2020,FALSE,FALSE,Unpopulated
-121.52941176470588,45.67567567567567,2020,FALSE,FALSE,Unpopulated
-121.41176470588235,45.67567567567567,2020,FALSE,FALSE,Unpopulated
-121.29411764705883,45.585585585585584,2020,FALSE,FALSE,Unpopulated
-121.29411764705883,45.67567567567567,2020,FALSE,FALSE,Unpopulated
-121.17647058823529,45.585585585585584,2020,FALSE,FALSE,Unpopulated
-121.17647058823529,45.67567567567567,2020,FALSE,FALSE,Unpopulated
-113.17647058823529,34.5945945945946,2020,FALSE,FALSE,Unpopulated
-113.17647058823529,34.5945945945946,2021,FALSE,FALSE,Unpopulated
-112.94117647058823,34.23423423423423,2021,FALSE,FALSE,Unpopulated
-112.70588235294117,34.23423423423423,2020,FALSE,FALSE,Unpopulated
-112.70588235294117,34.23423423423423,2021,FALSE,FALSE,Unpopulated
-112.70588235294117,34.32432432432432,2020,FALSE,FALSE,Unpopulated
-112.70588235294117,34.41441441441441,2021,FALSE,FALSE,Unpopulated
-112.47058823529412,34.5945945945946,2020,FALSE,FALSE,Unpopulated
-112.47058823529412,34.5945945945946,2021,FALSE,FALSE,Unpopulated
-112.47058823529412,34.68468468468468,2021,FALSE,FALSE,Unpopulated
-112.47058823529412,34.77477477477478,2020,FALSE,FALSE,Unpopulated
-112.47058823529412,34.77477477477478,2021,FALSE,FALSE,Unpopulated
-112.35294117647058,33.51351351351351,2020,FALSE,FALSE,Unpopulated
-112.35294117647058,34.5945945945946,2020,FALSE,FALSE,Unpopulated
-112.23529411764706,33.33333333333333,2021,FALSE,FALSE,Unpopulated
-112.23529411764706,33.6036036036036,2021,FALSE,FALSE,Unpopulated
-112.23529411764706,34.41441441441441,2020,FALSE,FALSE,Unpopulated
-112.23529411764706,34.41441441441441,2021,FALSE,FALSE,Unpopulated
-112.23529411764706,34.5045045045045,2020,FALSE,FALSE,Unpopulated
-112.23529411764706,34.5045045045045,2021,FALSE,FALSE,Unpopulated
-112.11764705882352,34.77477477477478,2021,FALSE,FALSE,Unpopulated
-112.11764705882352,34.86486486486486,2020,FALSE,FALSE,Unpopulated
-112,33.33333333333333,2020,FALSE,FALSE,Unpopulated
-112,33.42342342342342,2021,FALSE,FALSE,Unpopulated
-112,34.68468468468468,2020,FALSE,FALSE,Unpopulated
-112,34.68468468468468,2021,FALSE,FALSE,Unpopulated
-112,34.77477477477478,2020,FALSE,FALSE,Unpopulated
-112,34.77477477477478,2021,FALSE,FALSE,Unpopulated
-111.88235294117646,34.5045045045045,2020,FALSE,FALSE,Unpopulated
-111.88235294117646,34.5945945945946,2020,FALSE,FALSE,Unpopulated
-111.88235294117646,34.68468468468468,2020,FALSE,FALSE,Unpopulated
-111.88235294117646,34.77477477477478,2020,FALSE,FALSE,Unpopulated
-111.76470588235294,34.41441441441441,2020,FALSE,FALSE,Unpopulated
-111.76470588235294,34.5045045045045,2020,FALSE,FALSE,Unpopulated
-111.76470588235294,34.5045045045045,2021,FALSE,FALSE,Unpopulated
-111.76470588235294,34.5945945945946,2021,FALSE,FALSE,Unpopulated
-111.6470588235294,33.24324324324324,2020,FALSE,FALSE,Unpopulated
-111.6470588235294,33.24324324324324,2021,FALSE,FALSE,Unpopulated
-111.6470588235294,34.5045045045045,2020,FALSE,FALSE,Unpopulated
-111.52941176470588,34.41441441441441,2020,FALSE,FALSE,Unpopulated
-111.41176470588235,34.32432432432432,2020,FALSE,FALSE,Unpopulated
